   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   20997 0.066 2.05e-11 1.71e-08 9410175106652.654 ps
       2   20997 0.085 2.12e-03 1.77e+00 43281.81254289628 ps
       3   20997 0.107 2.19e-10 1.83e-07 208471167949.54822 ps
       4   20997 0.111 4.26e-04 3.56e-01 94681.72414518615 ps
       5   20997 0.118 3.75e-11 3.13e-08 915562251831.8396 ps
       6   20997 0.118 1.50e-09 1.25e-06 22417466628.917236 ps
       7   20997 0.119 8.13e-07 6.79e-04 40450711.49312149 ps
       8   20997 0.120 1.96e-04 1.64e-01 163676.36274927025 ps
       9   20997 0.124 8.53e-08 7.13e-05 344265007.7484916 ps
      10   20997 0.126 5.40e-07 4.51e-04 51387465.44774206 ps
