   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   55992 0.090 4.70e-16 1.05e-12 6.17920612986e+16 ps
       2   55992 0.092 4.56e-04 1.02e+00 59290.0662872 ps
       3   55992 0.100 2.03e-16 4.52e-13 1.02144747887e+17 ps
       4   55992 0.105 7.43e-06 1.65e-02 2461969.52923 ps
       5   55992 0.105 1.99e-06 4.44e-03 9072438.0723 ps
       6   55992 0.105 5.09e-06 1.13e-02 3537768.36382 ps
       7   55992 0.106 6.21e-08 1.38e-04 280965791.114 ps
       8   55992 0.108 2.85e-14 6.35e-11 5.8252312228e+14 ps
       9   55992 0.108 8.51e-15 1.90e-11 1.93109843487e+15 ps
      10   55992 0.108 1.68e-14 3.74e-11 9.7819331433e+14 ps
