   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   55992 0.090 1.01e-14 2.25e-11 2.87547215944e+15 ps
       2   55992 0.091 4.95e-04 1.10e+00 56445.0395167 ps
       3   55992 0.100 3.27e-15 7.29e-12 6.34109596974e+15 ps
       4   55992 0.105 6.70e-06 1.49e-02 2729151.47396 ps
       5   55992 0.105 1.57e-06 3.51e-03 11498596.98 ps
       6   55992 0.105 5.09e-06 1.13e-02 3536378.00486 ps
       7   55992 0.106 9.54e-08 2.12e-04 183100488.288 ps
       8   55992 0.108 1.19e-14 2.65e-11 1.3951184021e+15 ps
       9   55992 0.108 1.10e-13 2.45e-10 1.49396797098e+14 ps
      10   55992 0.108 2.54e-13 5.66e-10 6.46994003179e+13 ps
