   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   20997 4.417 1.15e-02 9.58e+00 1138.103735542695 ps 1.72e-05 cm^2/s
       2   20997 4.540 6.90e-11 5.76e-08 174239337499.5126 ps 1.12e-13 cm^2/s
       3   20997 4.650 2.31e-12 1.93e-09 4843864901272.522 ps 4.05e-15 cm^2/s
       4   20997 4.720 2.41e-10 2.01e-07 44393544531.00937 ps 4.41e-13 cm^2/s
       5   20997 4.772 1.80e-04 1.50e-01 57484.11408308495 ps 3.41e-07 cm^2/s
       6   20997 4.850 3.16e-10 2.64e-07 31206895164.774227 ps 6.28e-13 cm^2/s
       7   20997 4.941 1.17e-03 9.79e-01 7957.757252650016 ps 2.46e-06 cm^2/s
       8   20997 4.970 8.50e-12 7.10e-09 1078139030446.9661 ps 1.82e-14 cm^2/s
       9   20997 5.039 2.31e-09 1.93e-06 3811379474.6126623 ps 5.14e-12 cm^2/s
