# z                      e_perp                   e_para                   
9.743900000000000006e+00 1.058532999999999946e+00 1.127049593904184466e+00
9.965351999999999322e+00 1.077121999999999913e+00 1.167398198983112145e+00
1.018680400000000041e+01 1.101302000000000003e+00 1.219882424643905061e+00
1.040825599999999973e+01 1.132649000000000017e+00 1.287923078977605273e+00
1.062970900000000007e+01 1.173159000000000063e+00 1.375852606749264240e+00
1.085116099999999939e+01 1.225365000000000038e+00 1.489169045328559093e+00
1.107261300000000048e+01 1.292497999999999925e+00 1.634885485414828254e+00
1.129406499999999980e+01 1.378714999999999913e+00 1.822024959517250409e+00
1.151551800000000014e+01 1.489414000000000016e+00 2.062304169460348113e+00
1.173696999999999946e+01 1.631653000000000020e+00 2.371042952494487821e+00
1.195842200000000055e+01 1.814710000000000045e+00 2.768379796861226261e+00
1.217987499999999912e+01 2.050752999999999826e+00 3.280726119344703484e+00
1.240132700000000021e+01 2.355519999999999836e+00 3.942242248458136977e+00
1.262277899999999953e+01 2.748651999999999873e+00 4.795560222092494662e+00
1.284423100000000062e+01 3.252715999999999941e+00 5.889663146967674123e+00
1.306568399999999919e+01 3.888724999999999987e+00 7.270161074109738664e+00
1.328713600000000028e+01 4.663990000000000080e+00 8.952922993336970947e+00
1.350858799999999960e+01 5.547047000000000061e+00 1.086965429438505382e+01
1.373004000000000069e+01 6.431619000000000419e+00 1.278967399915009828e+01
1.395149299999999926e+01 7.119430000000000369e+00 1.428261145721360137e+01
1.417294500000000035e+01 7.383796000000000248e+00 1.485643464997791519e+01
1.439439699999999966e+01 7.119460000000000122e+00 1.428267657411888791e+01
1.461584900000000076e+01 6.431665999999999883e+00 1.278977601563504507e+01
1.483730199999999932e+01 5.547098000000000084e+00 1.086976499312404165e+01
1.505875400000000042e+01 4.664036000000000293e+00 8.953022839258411025e+00
1.528020599999999973e+01 3.888764000000000109e+00 7.270245726086611349e+00
1.550165900000000008e+01 3.252746000000000137e+00 5.889728263872960667e+00
1.572311099999999939e+01 2.748676000000000119e+00 4.795612315616724075e+00
1.594456300000000049e+01 2.355538000000000132e+00 3.942281318601309703e+00
1.616601500000000158e+01 2.050767000000000007e+00 3.280756507233837826e+00
1.638746799999999837e+01 1.814721999999999946e+00 2.768405843623340523e+00
